check,status,value,detail
CR130 generator source passes,PASS,,CR130_2BODY_3BODY_STRUCTURAL_BRIDGE_SEALED
CR130 violation count is zero,PASS,0,violation metric
CR131 generator source passes,PASS,,CR131_V4_1_SINGLE_WRITE_FERMION_LADDER_LAW_V1_SEALED
CR131 violation count is zero,PASS,0,violation metric
CR132 generator source passes,PASS,,CR132_1BODY_CARRIER_LATTICE_LAW_V1_SEALED
CR132 violation count is zero,PASS,0,violation metric
CR133 generator source passes,PASS,,CR133_OUTER_BINARY_NEUTRAL_FERMION_LADDER_LAW_V1_SEALED
CR133 violation count is zero,PASS,0,violation metric
CR134 generator source passes,PASS,,CR134_SOURCE_SUPPORT_PACKET_LAW_V1_SEALED
CR134 violation count is zero,PASS,0,violation metric
CR128 BCP mass rows all match,PASS,36/36,rows/matches
CR128b asymmetric BCP debit rows all match,PASS,30/30,rows/matches
CR129 OCTET 3-body rows all match,PASS,76/76,rows/matches
CR129b 3-body debit magnitude rows all match,PASS,76/76,rows/matches
CR129c universal 3-body rows all match,PASS,120/120/0,rows/matches/violations
CR130 bridge direct and rewrite rows all match,PASS,76/76/76,rows/direct/rewrite
CR131 single-write fermion ladder rows all match,PASS,90/90,rows/matches
CR132 carrier lattice rows all match,PASS,6/6,rows/matches
CR133 neutral ladder rows all match,PASS,24/24,rows/matches
CR134 source support rows all match,PASS,8/8,rows/matches
WC20_PARTICLE_TABLE_NEAREST_MATCH rejected,PASS,,CR119 source table keeps 1 fake_nearest_known_match row(s) rejected; known labels are reveal-only
WC21_PARTICLE_ROW_SUPPRESSION rejected,PASS,,CR062a retains 35/35 ledger rows; CR119 exports 321/321 particle rows; CR129c keeps rejected fake-closure controls outside pass set
WC22_PERIODIC_TABLE_DATA_BACKFILL rejected,PASS,,CR119 reports periodic rows as vault reveal; LC04 defers periodic/isotope replay to LC05 and uses no periodic target labels
WC_QA_AS_MASS rejected,PASS,,CR119 keeps 1 fake_direct_qA_as_mass row(s) rejected; LC03 qA bridge remains debit/source grammar only
WC_CARRIER_PROMOTED_TO_MATTER rejected,PASS,,CR116/CR119/CR132 keep tensor carrier as carrier/support; matter catalog remains 126 rows
WC_FORMULA_MUTATION rejected,PASS,,CR128-CR134 replay class-specific declared formulas with violations zero in their scopes
WC_CONSTANT_MUTATION rejected,PASS,,"All LC04 laws are read against LC01 locked primitive stack: alpha_H=2, R=12, D=3, split=1/8, surface_debit=0.75"
WC_Q_LABEL_RELABEL rejected,PASS,,CR129b/CR131/CR133 replay q and partition rules as fixed row grammar; no q-label relabeling is introduced in LC04
WC_INSAMPLE_OVERCLAIM rejected,PASS,,LC04 preserves the CR142 qualifier: generator rows are in-sample consistency unless separately forward-blind
WC_4BODY_CONJECTURE_AS_PASS rejected,PASS,,"LC04 records the 4-body term as forward-blind conjecture only, not an in-sample pass"
WC_SOURCE_SUPPORT_AS_MATTER rejected,PASS,,CR134 source support rows remain qA=0 hidden support with S_debit=0; not matter
