canonical_signature,source_row_id,assembly_template_id,opaque_token_id,source_bucket,source_role,generated_role,source_native,expected_native,formula_status,formula_pass,signature_match,role_match,lineage_match,structural_match,native_match
HS:6,QP093A-0310,TPL_74be860e3a63c56318ee6f92,TOK_0f97dbbf316bf78b84ec0095,HIDDEN_SUPPORT,INFRASTRUCTURE,INFRASTRUCTURE,6.250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,25/4,SOURCE_PRECISION_BOUNDED,True,True,True,True,True,True
HS:8,QP093A-0311,TPL_d64b2e9146d902d9607e1851,TOK_44d6bc275edb4c8be24fdc16,HIDDEN_SUPPORT,INFRASTRUCTURE,INFRASTRUCTURE,8.444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444448,76/9,SOURCE_PRECISION_BOUNDED,True,True,True,True,True,True
HS:9,QP093A-0312,TPL_04509e830dea97f4fad62584,TOK_eb56bd3df44a3666da1ba5ee,HIDDEN_SUPPORT,INFRASTRUCTURE,INFRASTRUCTURE,9.5625,153/16,EXACT,True,True,True,True,True,True
OP:12:1,QP093A-0291,TPL_b52b524b652341dc2e130b10,TOK_c4d8a0450e4d945288d069f3,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,177,177,EXACT,True,True,True,True,True,True
OP:12:12,QP093A-0298,TPL_e1dc4f7eff621247a9c92430,TOK_dd9687ae9fc78e6392a2f6f7,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,1728,1728,EXACT,True,True,True,True,True,True
OP:12:2,QP093A-0292,TPL_7de9f0c77f37c7f48af4e11d,TOK_9e7bc96d2c91e38634bc07c1,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,318,318,EXACT,True,True,True,True,True,True
OP:12:3,QP093A-0293,TPL_9acafb8abf05a101f987cbfd,TOK_c505acbccb4c67434d418142,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,459,459,EXACT,True,True,True,True,True,True
OP:12:4,QP093A-0294,TPL_72cecc31d0179d237adbba2d,TOK_27594b6bce6cd8c530870b06,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,600,600,EXACT,True,True,True,True,True,True
OP:12:6,QP093A-0295,TPL_683262242daf8d2a3d9b0200,TOK_98b8f620e4f22899a2fa884d,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,882,882,EXACT,True,True,True,True,True,True
OP:12:8,QP093A-0296,TPL_5050bc7182fb3505b99e077c,TOK_6d3fe85452330dcf9ffc3d28,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,1164,1164,EXACT,True,True,True,True,True,True
OP:12:9,QP093A-0297,TPL_057e07fb333ab8994f6875d2,TOK_97a4808a85b263d249e43b5d,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,1305,1305,EXACT,True,True,True,True,True,True
OP:1:1,QP093A-0235,TPL_e013702f2ae585cf8a0e4e6b,TOK_7ee3b0f22b0a6ec9e8898dca,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,12,12,EXACT,True,True,True,True,True,True
OP:1:12,QP093A-0242,TPL_e522246620f7258165634af5,TOK_0cf53c539a6bced5d3499b6e,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,177,177,EXACT,True,True,True,True,True,True
OP:1:2,QP093A-0236,TPL_fd4567a16909c6d0100564cc,TOK_d0774c00cf20b1ac70adba09,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,27,27,EXACT,True,True,True,True,True,True
OP:1:3,QP093A-0237,TPL_ea26616a006763e2e64b245e,TOK_c6703febb71a0d04e520e937,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,42,42,EXACT,True,True,True,True,True,True
OP:1:4,QP093A-0238,TPL_99ea2965a5b67fcd0e857d2b,TOK_b219f6bd45b35ded14e0341c,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,57,57,EXACT,True,True,True,True,True,True
OP:1:6,QP093A-0239,TPL_fe85b35e695546c01d8caba1,TOK_4c71ac05dfb31cc34b718ef0,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,87,87,EXACT,True,True,True,True,True,True
OP:1:8,QP093A-0240,TPL_f5505d2e84e80f90e2a13763,TOK_1a8b33ae8570d3faf5ee0bf9,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,117,117,EXACT,True,True,True,True,True,True
OP:1:9,QP093A-0241,TPL_d4be504b422140912d707273,TOK_beffdeb1f171237d4d741f09,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,132,132,EXACT,True,True,True,True,True,True
OP:2:1,QP093A-0243,TPL_90b3979f84e39a4fd3faa72f,TOK_c701ce2cdf572c74145ede72,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,27,27,EXACT,True,True,True,True,True,True
OP:2:12,QP093A-0250,TPL_63efdec8fc023d88da92a6a7,TOK_e5857fbaac4cbdaa9e2acbaf,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,318,318,EXACT,True,True,True,True,True,True
OP:2:2,QP093A-0244,TPL_e1a498011428df852038b02a,TOK_596d8dc79d6eee037a745812,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,48,48,EXACT,True,True,True,True,True,True
OP:2:3,QP093A-0245,TPL_d0522ada3e914c65291d0613,TOK_dd54a709860ccef81090f00c,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,75,75,EXACT,True,True,True,True,True,True
OP:2:4,QP093A-0246,TPL_a04e04227e31719cd06a72f0,TOK_46a53d13976edf899b6e4be8,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,102,102,EXACT,True,True,True,True,True,True
OP:2:6,QP093A-0247,TPL_15ff2bf4d9ebf9da3c72080b,TOK_6dfd22712d3e4c092e1dae8c,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,156,156,EXACT,True,True,True,True,True,True
OP:2:8,QP093A-0248,TPL_8e5f2ce5b23f91021304506a,TOK_12da1452e771bc64cfd3935c,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,210,210,EXACT,True,True,True,True,True,True
OP:2:9,QP093A-0249,TPL_054173dd7674131957f6b216,TOK_5b054c58fd3e9a2dca664102,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,237,237,EXACT,True,True,True,True,True,True
OP:3:1,QP093A-0251,TPL_fbe5076b3e6f59aa113aad68,TOK_1385f2f750fd057597ad27ba,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,42,42,EXACT,True,True,True,True,True,True
OP:3:12,QP093A-0258,TPL_53b6795aeefc5f27c517c44f,TOK_878ede83bfb1f4ed61161ed6,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,459,459,EXACT,True,True,True,True,True,True
OP:3:2,QP093A-0252,TPL_dd2586b4cadc080b850e60e3,TOK_ee6b6bf789ece69cdd35e275,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,75,75,EXACT,True,True,True,True,True,True
OP:3:3,QP093A-0253,TPL_9c4ec5ef7926f4b6e6c3c2a2,TOK_d1587ff30d72d0d6aba5ad40,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,108,108,EXACT,True,True,True,True,True,True
OP:3:4,QP093A-0254,TPL_853c1ae1f44d2a49f820edf7,TOK_84d553707b5a02cba206ee42,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,147,147,EXACT,True,True,True,True,True,True
OP:3:6,QP093A-0255,TPL_bce89d1b24496470deb740f8,TOK_b2845581052c93eab1303615,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,225,225,EXACT,True,True,True,True,True,True
OP:3:8,QP093A-0256,TPL_1cc1c2eb1811ae46e9d39e8c,TOK_fe0362b72cca1ee0834d0431,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,303,303,EXACT,True,True,True,True,True,True
OP:3:9,QP093A-0257,TPL_9b78cf93f60430d541ff20d6,TOK_81d402ba90bd7b445656b005,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,342,342,EXACT,True,True,True,True,True,True
OP:4:1,QP093A-0259,TPL_4eaac042a2fd196390f23013,TOK_30c4de440f84f33e7b27fdfc,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,57,57,EXACT,True,True,True,True,True,True
OP:4:12,QP093A-0266,TPL_ae637e4aa6ac2e30c7e845d7,TOK_43ea7c3319c1e729462d3dfb,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,600,600,EXACT,True,True,True,True,True,True
OP:4:2,QP093A-0260,TPL_72c125cf3856661623e3d735,TOK_d6eb3ecbc26c38ac2d81dd3a,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,102,102,EXACT,True,True,True,True,True,True
OP:4:3,QP093A-0261,TPL_a05ff98271408bbac56c0746,TOK_5f0172ebbdd173fca9964e94,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,147,147,EXACT,True,True,True,True,True,True
OP:4:4,QP093A-0262,TPL_1935e0ebfbe7fb09d72fe679,TOK_6cf98fa989f3dd4909ac2a8c,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,192,192,EXACT,True,True,True,True,True,True
OP:4:6,QP093A-0263,TPL_7cb277960d08869ae6ac243c,TOK_f9df88fdbf724da9a06a8ab4,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,294,294,EXACT,True,True,True,True,True,True
OP:4:8,QP093A-0264,TPL_c26df4e6c4cf8634855d92a1,TOK_392ff54c1b8475e08a39485c,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,396,396,EXACT,True,True,True,True,True,True
OP:4:9,QP093A-0265,TPL_74a4063238305e1f612af188,TOK_1399fec107d2987eee897d14,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,447,447,EXACT,True,True,True,True,True,True
OP:6:1,QP093A-0267,TPL_8d19b9e0c83125adc83a542c,TOK_78f9fd43c12d5b752034ea8f,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,87,87,EXACT,True,True,True,True,True,True
OP:6:12,QP093A-0274,TPL_42f5e69f1291c6009c6378af,TOK_29bc09acc7ce50ec0fc6c010,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,882,882,EXACT,True,True,True,True,True,True
OP:6:2,QP093A-0268,TPL_78230db5afbb93ffa7971fcd,TOK_e133051f7187ada815a326b3,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,156,156,EXACT,True,True,True,True,True,True
OP:6:3,QP093A-0269,TPL_6c5563a95cba3479f2791ef7,TOK_0fa4fca503305a6150cc8dd9,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,225,225,EXACT,True,True,True,True,True,True
OP:6:4,QP093A-0270,TPL_b1e637f6715e57a072b16d0a,TOK_558a5b0550d0a6275f06615d,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,294,294,EXACT,True,True,True,True,True,True
OP:6:6,QP093A-0271,TPL_0413790da59d51cdb9806e7c,TOK_0c1a9e6b3b92910775f901ec,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,432,432,EXACT,True,True,True,True,True,True
OP:6:8,QP093A-0272,TPL_5cb6175edfc75d4ca6801048,TOK_657c9a78d286a759a74b753f,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,582,582,EXACT,True,True,True,True,True,True
OP:6:9,QP093A-0273,TPL_531adcd59de90f961d7f1784,TOK_f1f3539f5af2506f3e081353,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,657,657,EXACT,True,True,True,True,True,True
OP:8:1,QP093A-0275,TPL_626ce2bde1f11a5334a76f89,TOK_84f836f15e51a5be97383595,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,117,117,EXACT,True,True,True,True,True,True
OP:8:12,QP093A-0282,TPL_a48194aa362286b1c8ef419a,TOK_671c73b6dd5985a4b7f7b054,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,1164,1164,EXACT,True,True,True,True,True,True
OP:8:2,QP093A-0276,TPL_85341880ba01af2257496c6a,TOK_c9b377ec7be86d18b8d077e9,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,210,210,EXACT,True,True,True,True,True,True
OP:8:3,QP093A-0277,TPL_c8214b1a4ba855f234bf9878,TOK_30e5abce5d408202dc84a1ee,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,303,303,EXACT,True,True,True,True,True,True
OP:8:4,QP093A-0278,TPL_d20ad03f34a370e40924c2c2,TOK_0e3957bdea965ca648b03b67,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,396,396,EXACT,True,True,True,True,True,True
OP:8:6,QP093A-0279,TPL_4ff07fa09136f88135539aa1,TOK_96d1ff05f24e55c6ed6d0bc8,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,582,582,EXACT,True,True,True,True,True,True
OP:8:8,QP093A-0280,TPL_46aaafa417e978f2dca81d16,TOK_878037e87b5bf80764aaf08b,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,768,768,EXACT,True,True,True,True,True,True
OP:8:9,QP093A-0281,TPL_ec8af09c4b7ff8b8ba26607c,TOK_168fb3d2c03182d7e7bbc2c0,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,867,867,EXACT,True,True,True,True,True,True
OP:9:1,QP093A-0283,TPL_db3f78aadd3ea699d4e50b8d,TOK_29661a33b440e2e854bad4f2,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,132,132,EXACT,True,True,True,True,True,True
OP:9:12,QP093A-0290,TPL_f88f78bcf7bc070ca02fc14b,TOK_edbd55a68721a66ea7ad1d13,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,1305,1305,EXACT,True,True,True,True,True,True
OP:9:2,QP093A-0284,TPL_10acd2cdc825ccf09d1b140c,TOK_4a84707fb866a33345995f75,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,237,237,EXACT,True,True,True,True,True,True
OP:9:3,QP093A-0285,TPL_bf60834cc579bc745f72a4d5,TOK_5b5030ff07fd65c079c9e813,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,342,342,EXACT,True,True,True,True,True,True
OP:9:4,QP093A-0286,TPL_cd90a3aedc5ccc85e2abc1ef,TOK_8ede39a00575628e3b3faca8,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,447,447,EXACT,True,True,True,True,True,True
OP:9:6,QP093A-0287,TPL_1412def6b3609100252a87fd,TOK_556cd44e560c09b757f7c74b,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,657,657,EXACT,True,True,True,True,True,True
OP:9:8,QP093A-0288,TPL_155d6162504410cf753908f5,TOK_6a7a024654630e4f3fd8dcb9,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,867,867,EXACT,True,True,True,True,True,True
OP:9:9,QP093A-0289,TPL_8e7a05736bf321c117f6365c,TOK_312a28e0873404a710d38ffc,TWO_BODY_PAIR,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,972,972,EXACT,True,True,True,True,True,True
UC:12:0:minus,QP093A-0088,TPL_9c413849529ad24df1d9101a,TOK_eb16d3376ed1f7b006a5a984,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,18.0,18,EXACT,True,True,True,True,True,True
UC:12:0:plus,QP093A-0087,TPL_b107f13980cf900866675b2f,TOK_ca1a4fa8963f8e10ff2b51f8,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,15.00,15,EXACT,True,True,True,True,True,True
UC:12:1:minus,QP093A-0104,TPL_d2e5fdca5744c1196dcf223e,TOK_44c6a6616e0f5943112b00fd,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,216.0,216,EXACT,True,True,True,True,True,True
UC:12:1:plus,QP093A-0103,TPL_9f048d5189435e1fa608fa71,TOK_7170c2eee4f626ce4b045f4e,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,180.00,180,EXACT,True,True,True,True,True,True
UC:1:0:minus,QP093A-0074,TPL_8e12f72156a13b4487df6014,TOK_afc28b7efe412f237f3f7e3a,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,1.5,3/2,EXACT,True,True,True,True,True,True
UC:1:0:plus,QP093A-0073,TPL_793a3d125344645286158aa4,TOK_88372b89d4f0fea66520d968,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,1.25,5/4,EXACT,True,True,True,True,True,True
UC:1:1:minus,QP093A-0090,TPL_5888cf9939600c92f59ecc96,TOK_32185c11c2d28adb26083a99,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,18.0,18,EXACT,True,True,True,True,True,True
UC:1:1:plus,QP093A-0089,TPL_71e4292e3f482fbee066e1e3,TOK_fd1ccbbf0df337fc15a91a71,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,15.00,15,EXACT,True,True,True,True,True,True
UC:1:2:minus,QP093A-0106,TPL_e342c28b077cc16dc5d358d1,TOK_afb44ee16bf2cea4cb2cc23e,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,216.0,216,EXACT,True,True,True,True,True,True
UC:1:2:plus,QP093A-0105,TPL_6e3c89cf80d94cac31c80cee,TOK_8c47a880f5e045fd17fd4531,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,180.00,180,EXACT,True,True,True,True,True,True
UC:2:0:minus,QP093A-0076,TPL_99d2eb5d38a02a0a0a710390,TOK_20d3f9fc4c469232ef17abf0,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,3.0,3,EXACT,True,True,True,True,True,True
UC:2:0:plus,QP093A-0075,TPL_afef258560750c0b014d42d0,TOK_bdd03d843656a01cc163305d,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,2.50,5/2,EXACT,True,True,True,True,True,True
UC:2:1:minus,QP093A-0092,TPL_f50717aae9d7987547966dab,TOK_4e18eaf03d9e300cf4c5a960,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,36.0,36,EXACT,True,True,True,True,True,True
UC:2:1:plus,QP093A-0091,TPL_19ddadd3f598cc7a595ff437,TOK_990dc6e3e18fdeff22d870a0,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,30.00,30,EXACT,True,True,True,True,True,True
UC:2:2:minus,QP093A-0108,TPL_087a4dd1c65e57c6e8048873,TOK_81ccf9948f0b5c711d1659ba,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,432.0,432,EXACT,True,True,True,True,True,True
UC:2:2:plus,QP093A-0107,TPL_e7b4ba9b79b662592d3bd400,TOK_17ad2e268925134cf3aaf5a3,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,360.00,360,EXACT,True,True,True,True,True,True
UC:3:0:minus,QP093A-0078,TPL_6e1dec55bebc19dca54cdea5,TOK_d0d51441862226f488fc538a,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,4.5,9/2,EXACT,True,True,True,True,True,True
UC:3:0:plus,QP093A-0077,TPL_84474ecd0bb0f291b87a905f,TOK_1f7cfd80809b1f3541682a88,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,3.75,15/4,EXACT,True,True,True,True,True,True
UC:3:1:minus,QP093A-0094,TPL_6612ac3b0abac52209d1b4bc,TOK_7cfafb7ab07df8a1e0e74c9a,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,54.0,54,EXACT,True,True,True,True,True,True
UC:3:1:plus,QP093A-0093,TPL_71b8edad334e91c10dfd078d,TOK_0db68be671777cb683e37fab,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,45.00,45,EXACT,True,True,True,True,True,True
UC:3:2:minus,QP093A-0110,TPL_09e6e04db362da7cdb725215,TOK_cc1f12d7e135b14113b60b32,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,648.0,648,EXACT,True,True,True,True,True,True
UC:3:2:plus,QP093A-0109,TPL_caaa8ef086f902943a017e68,TOK_b0dc52098dea8ac48654d681,ONE_BODY_CONJUGATE,LEGAL_LOCAL_TEMPLATE,LEGAL_LOCAL_TEMPLATE,540.00,540,EXACT,True,True,True,True,True,True
