trial_id,platform_id,platform_trigger_scenario,carrier_packet_checksum,carrier_tensor_witness,carrier_mirror_checksum,protocol_event_qA,target_candidate_id,target_partition_signature,target_role,diamond_anchor,target_matter_gate,target_qA,target_T,target_W,binding_rule,binding_allowed,binding_state,emitted_state,passed
NV_CENTER_T2::QP093A-0115,NV_CENTER_T2,nv_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0115,1+1+1,three_body_diamond_anchor,True,yes,72.5,9.0625,63.4375,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
NV_CENTER_T2::QP093A-0187,NV_CENTER_T2,nv_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0187,3+4+8,three_body_bound_target,False,yes,2150.833333,268.8541667,1881.979167,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
NV_CENTER_T2::QP093A-0190,NV_CENTER_T2,nv_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0190,3+6+6,three_body_bound_target,False,yes,4465.125,558.140625,3906.984375,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
NV_CENTER_T2::QP093A-0173,NV_CENTER_T2,nv_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0173,2+8+8,three_body_bound_target,False,yes,7733,966.625,6766.375,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0115,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0115,1+1+1,three_body_diamond_anchor,True,yes,72.5,9.0625,63.4375,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0151,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0151,2+2+2,three_body_diamond_anchor,True,yes,255.5,31.9375,223.5625,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0200,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0200,4+4+4,three_body_diamond_anchor,True,yes,1160,145,1015,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0225,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0225,8+8+8,three_body_diamond_anchor,True,yes,4088,511,3577,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0118,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0118,1+1+4,three_body_bound_target,False,yes,435,54.375,380.625,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0124,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0124,1+2+3,three_body_bound_target,False,yes,676.6666667,84.58333333,592.0833333,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0126,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0126,1+2+6,three_body_bound_target,False,yes,1981.666667,247.7083333,1733.958333,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0136,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0136,1+4+4,three_body_bound_target,False,yes,1706.375,213.296875,1493.078125,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0155,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0155,2+2+8,three_body_bound_target,False,yes,1533,191.625,1341.375,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0165,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0165,2+4+6,three_body_bound_target,False,yes,2895.666667,361.9583333,2533.708333,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0142,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0142,1+6+8,three_body_bound_target,False,yes,5567.625,695.953125,4871.671875,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0187,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0187,3+4+8,three_body_bound_target,False,yes,2150.833333,268.8541667,1881.979167,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0190,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0190,3+6+6,three_body_bound_target,False,yes,4465.125,558.140625,3906.984375,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
PHOTONIC_TAU_ENT::QP093A-0173,PHOTONIC_TAU_ENT,photonic_threshold_exact,162,QP093A-0300=18,QP093A-0303=81,1/24,QP093A-0173,2+8+8,three_body_bound_target,False,yes,7733,966.625,6766.375,carrier validates route/witness/checksum; target supplies matter address; gate permits emission,True,TARGETED_PR_WARNING_BOUND,TARGETED_EMITTED_WARNING_PACKET,True
