candidate_id,operator_class,partition,sorted_abc,a,b,c,q_abs,q_sign,closure_depth,stability_status,M_native,filter_1_q0,filter_2_distinct,filter_3_promoted
QP093A-0134,OCTET_COMPOSITE,1+3+9,"(1,3,9)",1,3,9,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3276,False,True,True
QP093A-0135,OCTET_COMPOSITE,1+3+12,"(1,3,12)",1,3,12,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5544,False,True,True
QP093A-0136,GROUND_BARYON_3BODY,1+4+4,"(1,4,4)",1,4,4,2,negative,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,1188,False,False,True
QP093A-0137,OCTET_COMPOSITE,1+4+6,"(1,4,6)",1,4,6,3,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,1908,False,True,True
QP093A-0138,OCTET_COMPOSITE,1+4+8,"(1,4,8)",1,4,8,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,2916,False,True,True
QP093A-0139,OCTET_COMPOSITE,1+4+9,"(1,4,9)",1,4,9,3,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3528,False,True,True
QP093A-0140,OCTET_COMPOSITE,1+4+12,"(1,4,12)",1,4,12,3,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5796,False,True,True
QP093A-0141,OCTET_COMPOSITE,1+6+6,"(1,6,6)",1,6,6,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,2628,False,False,True
QP093A-0142,GROUND_BARYON_3BODY,1+6+8,"(1,6,8)",1,6,8,3,negative,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,3636,False,True,True
QP093A-0143,OCTET_COMPOSITE,1+6+9,"(1,6,9)",1,6,9,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,4248,False,True,True
QP093A-0144,OCTET_COMPOSITE,1+6+12,"(1,6,12)",1,6,12,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,6516,False,True,True
QP093A-0145,OCTET_COMPOSITE,1+8+8,"(1,8,8)",1,8,8,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,4644,False,False,True
QP093A-0146,GROUND_BARYON_3BODY,1+8+9,"(1,8,9)",1,8,9,7,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5256,False,True,True
QP093A-0147,GROUND_BARYON_3BODY,1+8+12,"(1,8,12)",1,8,12,7,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,7524,False,True,True
QP093A-0148,OCTET_COMPOSITE,1+9+9,"(1,9,9)",1,9,9,8,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5868,False,False,True
QP093A-0149,OCTET_COMPOSITE,1+9+12,"(1,9,12)",1,9,12,8,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,8136,False,True,True
QP093A-0150,OCTET_COMPOSITE,1+12+12,"(1,12,12)",1,12,12,11,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,10404,False,False,True
QP093A-0151,GROUND_BARYON_3BODY,2+2+2,"(2,2,2)",2,2,2,2,positive,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,432,False,False,True
QP093A-0152,OCTET_COMPOSITE,2+2+3,"(2,2,3)",2,2,3,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,612,True,False,True
QP093A-0153,OCTET_COMPOSITE,2+2+4,"(2,2,4)",2,2,4,1,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,864,False,False,True
QP093A-0154,OCTET_COMPOSITE,2+2+6,"(2,2,6)",2,2,6,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,1584,True,False,True
QP093A-0155,GROUND_BARYON_3BODY,2+2+8,"(2,2,8)",2,2,8,2,positive,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,2592,False,False,True
QP093A-0156,OCTET_COMPOSITE,2+2+9,"(2,2,9)",2,2,9,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3204,True,False,True
QP093A-0157,OCTET_COMPOSITE,2+2+12,"(2,2,12)",2,2,12,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5472,True,False,True
QP093A-0158,OCTET_COMPOSITE,2+3+3,"(2,3,3)",2,3,3,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,792,False,False,True
QP093A-0160,OCTET_COMPOSITE,2+3+6,"(2,3,6)",2,3,6,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,1764,False,True,True
QP093A-0161,OCTET_COMPOSITE,2+3+8,"(2,3,8)",2,3,8,1,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,2772,False,True,True
QP093A-0162,OCTET_COMPOSITE,2+3+9,"(2,3,9)",2,3,9,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3384,False,True,True
QP093A-0163,OCTET_COMPOSITE,2+3+12,"(2,3,12)",2,3,12,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5652,False,True,True
QP093A-0164,OCTET_COMPOSITE,2+4+4,"(2,4,4)",2,4,4,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,1296,False,False,True
QP093A-0165,GROUND_BARYON_3BODY,2+4+6,"(2,4,6)",2,4,6,2,negative,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,2016,False,True,True
QP093A-0166,OCTET_COMPOSITE,2+4+8,"(2,4,8)",2,4,8,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3024,True,True,True
QP093A-0167,GROUND_BARYON_3BODY,2+4+9,"(2,4,9)",2,4,9,2,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3636,False,True,True
QP093A-0168,GROUND_BARYON_3BODY,2+4+12,"(2,4,12)",2,4,12,2,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5904,False,True,True
QP093A-0169,OCTET_COMPOSITE,2+6+6,"(2,6,6)",2,6,6,4,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,2736,False,False,True
QP093A-0170,OCTET_COMPOSITE,2+6+8,"(2,6,8)",2,6,8,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3744,False,True,True
QP093A-0171,OCTET_COMPOSITE,2+6+9,"(2,6,9)",2,6,9,4,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,4356,False,True,True
QP093A-0172,OCTET_COMPOSITE,2+6+12,"(2,6,12)",2,6,12,4,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,6624,False,True,True
QP093A-0173,GROUND_BARYON_3BODY,2+8+8,"(2,8,8)",2,8,8,4,negative,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,4752,False,False,True
QP093A-0174,OCTET_COMPOSITE,2+8+9,"(2,8,9)",2,8,9,6,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5364,False,True,True
QP093A-0175,OCTET_COMPOSITE,2+8+12,"(2,8,12)",2,8,12,6,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,7632,False,True,True
QP093A-0176,OCTET_COMPOSITE,2+9+9,"(2,9,9)",2,9,9,7,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5976,False,False,True
QP093A-0177,OCTET_COMPOSITE,2+9+12,"(2,9,12)",2,9,12,7,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,8244,False,True,True
QP093A-0178,OCTET_COMPOSITE,2+12+12,"(2,12,12)",2,12,12,10,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,10512,False,False,True
QP093A-0180,OCTET_COMPOSITE,3+3+4,"(3,3,4)",3,3,4,1,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,1224,False,False,True
QP093A-0182,OCTET_COMPOSITE,3+3+8,"(3,3,8)",3,3,8,2,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,2952,False,False,True
QP093A-0185,OCTET_COMPOSITE,3+4+4,"(3,4,4)",3,4,4,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,1476,True,False,True
QP093A-0186,OCTET_COMPOSITE,3+4+6,"(3,4,6)",3,4,6,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,2196,False,True,True
QP093A-0187,GROUND_BARYON_3BODY,3+4+8,"(3,4,8)",3,4,8,1,positive,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,3204,False,True,True
QP093A-0188,OCTET_COMPOSITE,3+4+9,"(3,4,9)",3,4,9,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3816,False,True,True
QP093A-0189,OCTET_COMPOSITE,3+4+12,"(3,4,12)",3,4,12,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,6084,False,True,True
QP093A-0190,GROUND_BARYON_3BODY,3+6+6,"(3,6,6)",3,6,6,3,negative,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,2916,False,False,True
QP093A-0191,OCTET_COMPOSITE,3+6+8,"(3,6,8)",3,6,8,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3924,False,True,True
QP093A-0192,GROUND_BARYON_3BODY,3+6+9,"(3,6,9)",3,6,9,3,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,4536,False,True,True
QP093A-0193,GROUND_BARYON_3BODY,3+6+12,"(3,6,12)",3,6,12,3,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,6804,False,True,True
QP093A-0194,OCTET_COMPOSITE,3+8+8,"(3,8,8)",3,8,8,3,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,4932,False,False,True
QP093A-0195,OCTET_COMPOSITE,3+8+9,"(3,8,9)",3,8,9,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5544,False,True,True
QP093A-0196,OCTET_COMPOSITE,3+8+12,"(3,8,12)",3,8,12,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,7812,False,True,True
QP093A-0197,GROUND_BARYON_3BODY,3+9+9,"(3,9,9)",3,9,9,6,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,6156,False,False,True
QP093A-0198,GROUND_BARYON_3BODY,3+9+12,"(3,9,12)",3,9,12,6,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,8424,False,True,True
QP093A-0199,GROUND_BARYON_3BODY,3+12+12,"(3,12,12)",3,12,12,9,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,10692,False,False,True
QP093A-0200,GROUND_BARYON_3BODY,4+4+4,"(4,4,4)",4,4,4,1,positive,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,1728,False,False,True
QP093A-0201,OCTET_COMPOSITE,4+4+6,"(4,4,6)",4,4,6,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,2448,True,False,True
QP093A-0202,OCTET_COMPOSITE,4+4+8,"(4,4,8)",4,4,8,2,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3456,False,False,True
QP093A-0203,OCTET_COMPOSITE,4+4+9,"(4,4,9)",4,4,9,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,4068,True,False,True
QP093A-0204,OCTET_COMPOSITE,4+4+12,"(4,4,12)",4,4,12,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,6336,True,False,True
QP093A-0205,OCTET_COMPOSITE,4+6+6,"(4,6,6)",4,6,6,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,3168,False,False,True
QP093A-0207,OCTET_COMPOSITE,4+6+9,"(4,6,9)",4,6,9,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,4788,False,True,True
QP093A-0208,OCTET_COMPOSITE,4+6+12,"(4,6,12)",4,6,12,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,7056,False,True,True
QP093A-0209,OCTET_COMPOSITE,4+8+8,"(4,8,8)",4,8,8,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5184,False,False,True
QP093A-0210,GROUND_BARYON_3BODY,4+8+9,"(4,8,9)",4,8,9,4,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5796,False,True,True
QP093A-0211,GROUND_BARYON_3BODY,4+8+12,"(4,8,12)",4,8,12,4,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,8064,False,True,True
QP093A-0212,OCTET_COMPOSITE,4+9+9,"(4,9,9)",4,9,9,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,6408,False,False,True
QP093A-0213,OCTET_COMPOSITE,4+9+12,"(4,9,12)",4,9,12,5,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,8676,False,True,True
QP093A-0214,OCTET_COMPOSITE,4+12+12,"(4,12,12)",4,12,12,8,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,10944,False,False,True
QP093A-0216,OCTET_COMPOSITE,6+6+8,"(6,6,8)",6,6,8,2,positive,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,4896,False,False,True
QP093A-0219,OCTET_COMPOSITE,6+8+8,"(6,8,8)",6,8,8,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,5904,True,False,True
QP093A-0220,OCTET_COMPOSITE,6+8+9,"(6,8,9)",6,8,9,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,6516,False,True,True
QP093A-0221,OCTET_COMPOSITE,6+8+12,"(6,8,12)",6,8,12,2,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,8784,False,True,True
QP093A-0222,GROUND_BARYON_3BODY,6+9+9,"(6,9,9)",6,9,9,3,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,7128,False,False,True
QP093A-0223,GROUND_BARYON_3BODY,6+9+12,"(6,9,12)",6,9,12,3,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,9396,False,True,True
QP093A-0224,GROUND_BARYON_3BODY,6+12+12,"(6,12,12)",6,12,12,6,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,11664,False,False,True
QP093A-0225,GROUND_BARYON_3BODY,8+8+8,"(8,8,8)",8,8,8,2,positive,0,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,6912,False,False,True
QP093A-0226,OCTET_COMPOSITE,8+8+9,"(8,8,9)",8,8,9,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,7524,True,False,True
QP093A-0227,OCTET_COMPOSITE,8+8+12,"(8,8,12)",8,8,12,0,neutral,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,9792,True,False,True
QP093A-0228,OCTET_COMPOSITE,8+9+9,"(8,9,9)",8,9,9,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,8136,False,False,True
QP093A-0229,OCTET_COMPOSITE,8+9+12,"(8,9,12)",8,9,12,1,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,10404,False,True,True
QP093A-0230,OCTET_COMPOSITE,8+12+12,"(8,12,12)",8,12,12,4,negative,3,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,12672,False,False,True
QP093A-0233,GROUND_BARYON_3BODY,9+12+12,"(9,12,12)",9,12,12,3,negative,0,BOUND_COLOR_CLOSED_HEAVY_CANDIDATE,13284,False,False,True
